timestamp,acceleration,pressure,model_velocity,stages,model_displacement,barometer_height,true_displacement,true_velocity
13.943,0.07714415840659729,98.391,0.18618645191723904,1,0.15569462327291766,1.3540353802019862,0.36768447896564654,0.1087316402725141
14.047,0.07048645217521968,98.393,0.19428978953134726,1,0.17547938782824435,1.3666524940866576,0.3897809497446754,0.11717935915765991
14.151,0.061626322295357853,98.391,0.2015861996676709,1,0.19606493926659313,1.405306839547703,0.41268251978365594,0.12551338953923366
14.255,0.05371225543333655,98.386,0.2080103515734168,1,0.2173639599311299,1.5149578706142393,0.4365692545282524,0.13365886367361288
14.359,0.04649508357384387,98.388,0.21364767906564383,1,0.23929017752436088,1.5781954188967926,0.46118552063790863,0.14155670037516346
14.463,0.03922199019152327,98.379,0.21853151276529656,1,0.2617634954995696,1.7726342403190039,0.48693685087464395,0.14915700248302594
14.567,0.031088114096726203,98.387,0.22261418405213926,1,0.2847030717340765,1.8167920634945962,0.5131822183864535,0.15640999645410236
14.671,0.023284447626677984,98.392,0.22586810312560993,1,0.30802415066731925,1.7720820343859722,0.5395166223725406,0.16326811980709968
14.775,0.015577545825008,98.39,0.2283154726489513,1,0.3316416966075967,1.7579874278571959,0.5659761007597381,0.1696907386575477
14.879,0.009801880273862104,98.395,0.23006174866994622,1,0.35547731211617917,1.6620422169916431,0.5922009601177787,0.17565160429979304
14.983,0.005338663513904578,98.391,0.23127560281076381,1,0.3794668543931763,1.6349047052548975,0.6183896666213728,0.18114376420949477
15.087,6.615051708021503e-05,98.384,0.2319831990042287,1,0.4035563120875557,1.7180952634642725,0.6448823424634681,0.18616354932085943
15.191,-0.004038452293471249,98.386,0.23220318517571004,2,0.42769400406491276,1.7591452815863462,0.6714765888129867,0.19070944159591507
15.295,-0.00731246936446034,98.378,0.2329846967593667,2,0.4518837739255366,1.9195419399752616,0.698632041264329,0.19488371147564063
15.503,-0.013395998860607602,98.388,0.23357453508369788,2,0.5004059340372153,1.9285627356875574,0.7463833077908604,0.19969490015785185
15.607,-0.012729672242760302,98.387,0.23358775969619186,2,0.5246983733657694,1.9132991668894586,0.773664563030823,0.20373065739539636
15.711,-0.01370443385172083,98.388,0.23358494568914798,2,0.5489913540458073,1.8811166936163266,0.8006976845403405,0.20716272504325386
15.815,-0.026913381301154032,98.374,0.23284457881106763,2,0.5732456893198183,2.0891384052611195,0.8282326242927917,0.21003217403514587
15.919,-0.02467801296636536,98.391,0.23153358581902572,2,0.5973933538805835,1.9849220396372733,0.8551582439994028,0.21237952062996698
16.023,-0.02188965175501453,98.388,0.23048382676338308,2,0.6214182593348685,1.9402008441548577,0.8817124636151462,0.21431916643096952
16.127,-0.020261019173377966,98.387,0.2296637513849758,2,0.6453459333985829,1.9150442094117834,0.9079906803622134,0.21593821836643756
16.231,-0.030352496320351887,98.38,0.22840360808917093,2,0.6691654360912392,2.0036425541817873,0.9343302500971085,0.21723730913095227
16.335,-0.02671579759141943,98.378,0.22680781631562796,2,0.6928364301602886,2.1129308583200865,0.9607641911406148,0.21822478529338635
16.439,-0.0235639643275002,98.381,0.22556502820571325,2,0.7163598180753982,2.1608653189168363,0.9871234026843632,0.21897603908635158
16.543,-0.021064291747619514,98.376,0.22461611839967613,2,0.7397692376988783,2.2802279101756997,1.0136663515686826,0.21954955889567643
16.647,-0.018304668020644774,98.371,0.22394069200159553,2,0.7630941918397443,2.4633392056841306,1.040618635359764,0.21999379982537276
16.751,-0.01546815556023779,98.374,0.22355626468525872,2,0.7863640335874613,2.576784422610491,1.0677770229849488,0.22035273089291482
16.855,-0.01362060988352865,98.387,0.22341540839205198,2,0.8096065605874813,2.468937593296391,1.09445929753322,0.22066021815142603
16.959,-0.011513860138360407,98.376,0.22348017546078286,2,0.8328451309478285,2.5403209974742853,1.1212576740823368,0.2209425611645191
17.063,-0.009311034265165597,98.37,0.22376904046166862,2,0.8561020901757959,2.69526985622522,1.1484526285614223,0.22122493336149465
17.167,-0.006892550818110469,98.379,0.2242982135472074,2,0.879401587384258,2.688718701555588,1.1755581336171022,0.2215313219268514
17.271,-0.005404404067755634,98.378,0.22503053140301146,2,0.9027666821216692,2.6936902688120923,1.2026316473642997,0.22187956201806588
17.375,-0.004515451912623261,98.376,0.22588645840190086,2,0.9262143655915245,2.725343025642364,1.2297687661984342,0.22227776237398386
17.479,-0.0028779611618276564,98.365,0.22687376043189852,2,0.9497578969708819,2.9234427562709455,1.257490239175401,0.2227340346666631
17.583,-0.0019185408734681223,98.366,0.22799610183593225,2,0.9734111298088088,3.0819398269396436,1.2856800304544507,0.22325597079790202
17.687,-0.0012691073688121932,98.369,0.22920210363720284,2,0.9971854364934125,3.1718769913389306,1.3141331280900705,0.2238453107684253
17.791,-0.000700641747099611,98.365,0.23047143619304453,2,1.0210884605645851,3.3100248766631277,1.3429976031969169,0.2245016600733849
17.895,-0.00011174613110557371,98.368,0.23180095153324695,2,1.0451266247263522,3.380806537909192,1.372073614127242,0.22522432050747648
17.999,-0.0003961249059063833,98.37,0.23314630174919146,2,1.0693038818970388,3.4061509188707633,1.4012269487527733,0.2260082914939705
18.103,-0.00018136427763781144,98.357,0.23448803182151629,2,1.0936208672427163,3.627571565799069,1.4310356317133295,0.22684723527657955
18.207,0.0013330562424130298,98.372,0.2359196793135537,2,1.1180820682217398,3.5837950511007244,1.4607230804179188,0.22774453002144956
18.311,0.0004415275094388977,98.36,0.23738371717851908,2,1.1426938448393273,3.726498899315112,1.4908396573120923,0.22869769035073148
18.415,0.00027627531552762387,98.377,0.2387928024352865,2,1.1674550238592452,3.5803616476457765,1.5205399968258186,0.22969568198294596
18.519,0.0017610594450221083,98.377,0.24027050335270417,2,1.1923663157602205,3.442253094639667,1.549863314304843,0.23074087441875327
18.623,0.0012555721670883637,98.368,0.24179912770640305,2,1.2174339365752946,3.4552779013841692,1.5792556457086464,0.2318337023798803
18.727,0.0013893915048270185,98.354,0.24330842532721175,2,1.2426595293330425,3.6846195496096,1.6093317648248497,0.23296763961789502
18.831,0.00164251322825775,98.368,0.24483784388320126,2,1.2680431353319837,3.666922824780343,1.6393861422213762,0.23414053884572375
18.935,-0.010300790188445473,98.374,0.24575937299114062,2,1.2935541906094492,3.5517083790199715,1.669090643188979,0.23528849607246366
19.039,-0.009887023404875857,98.36,0.24608136619415705,2,1.3191299090470854,3.664951827562751,1.6990348264012534,0.23635486340299297
19.143,-0.008551254177768385,98.356,0.24649433526972864,2,1.3447438455232072,3.8271657395505296,1.729359153819454,0.23735671402950212
19.247,-0.0072948299305154035,98.361,0.24704209840596697,2,1.3704077400743433,3.8908446611370375,1.7597975706238222,0.238313705710997
19.351,-0.006660108938911301,98.378,0.24768820109462591,2,1.396133715648374,3.6756921297005283,1.7895911088443934,0.23923988920333847
19.455,-0.005910603710327617,98.37,0.24840628354673458,2,1.4219306288497244,3.603949660277069,1.8191499257113946,0.2401454697053685
19.559,-0.005731492298883752,98.359,0.24917265406412475,2,1.4478047336054898,3.710781088101563,1.8489689181924494,0.24103731575854556
19.663,-0.004294470557603605,98.364,0.2500230635054565,2,1.4737629109191077,3.7266480133039273,1.878806637468125,0.2419250526427551
19.767,-0.003783536763280827,98.353,0.25097476663463963,2,1.4998147980863925,3.912299415261747,1.909130279726009,0.24281914876490412
19.871,-0.01549376057632418,98.356,0.25134410668284923,2,1.5259353794989017,4.029737285386726,1.939696284822113,0.24366145379589285
19.975,-0.013022724681922334,98.349,0.25123300895928957,2,1.5520693895122937,4.242374987209691,1.9707092234733286,0.24440968034887212
20.079,-0.010667962656504982,98.354,0.25137285272756044,2,1.5782048943200098,4.350668387586225,2.0019082396855454,0.24509785946254573
